objectid,uid,x,y,island,longitude,latitude
1,-158.15014_21.44250,-158.15014549,21.4425027,Oahu,-158.15013110312697,21.442499281061565
2,-158.15008_21.44229,-158.15008896,21.44229764,Oahu,-158.15007456517864,21.44229421844126
3,-158.15032_21.44260,-158.15032928999997,21.442601009999997,Oahu,-158.1503148955134,21.442597586389823
4,-158.15052_21.44248,-158.15052627999998,21.44248675,Oahu,-158.15051188762493,21.44248333199684
5,-158.15052_21.44230,-158.15052233999998,21.44230946,Oahu,-158.15050794728654,21.4423060390667
6,-158.15099_21.44218,-158.15099512,21.44218338,Oahu,-158.1509807289878,21.4421799633191
7,-158.15117_21.44210,-158.15117635000001,21.44210459,Oahu,-158.15116196120803,21.44210116698629
8,-158.15192_21.44198,-158.15192886,21.44198639,Oahu,-158.15191447147805,21.441982971808972
9,-158.15221_21.44195,-158.15221252999999,21.44195487,Oahu,-158.1521981402615,21.441951452850308
10,-158.15277_21.44221,-158.15277199000002,21.44221096,Oahu,-158.15275759878114,21.442207542549284
11,-158.15294_21.44229,-158.15294139999997,21.44229764,Oahu,-158.15292701098707,21.442294219017537
12,-158.15310_21.44222,-158.15310294,21.44222672,Oahu,-158.15308854582773,21.442223301930408
13,-158.15326_21.44208,-158.15326841,21.44208883,Oahu,-158.15325401819703,21.442085407844534
14,-158.15327_21.44234,-158.15327629,21.44234886,Oahu,-158.1532618982688,21.442345436524583
15,-158.15346_21.44234,-158.15346540000002,21.44234492,Oahu,-158.15345101009035,21.442341496323692
16,-158.15355_21.44217,-158.15355208,21.44217156,Oahu,-158.15353768692114,21.44216814347429
17,-158.15348_21.44201,-158.15348116,21.44201791,Oahu,-158.153466770425,21.442014490153287
18,-158.15115_21.44198,-158.15115271000002,21.44198639,Oahu,-158.1511383224491,21.44198297144837
19,-158.15094_21.44202,-158.15094390000002,21.44202579,Oahu,-158.15092951122793,21.442022369605382
20,-158.15215_21.44184,-158.15215737,21.44184456,Oahu,-158.15214298207718,21.441841136646133
21,-158.15186_21.44188,-158.15186188,21.44188789,Oahu,-158.15184749451956,21.44188447502917
22,-158.15537_21.44078,-158.15537401,21.440782379999998,Oahu,-158.15535961942453,21.440778960372505
23,-158.15480_21.43997,-158.15480831,21.43997432,Oahu,-158.15479391671562,21.439970901506655
24,-158.15531_21.43992,-158.1553148,21.439926080000003,Oahu,-158.155300413094,21.43992266345805
25,-158.15568_21.44028,-158.15568623,21.440287870000002,Oahu,-158.1556718446359,21.440284447215795
26,-158.15624_21.43977,-158.15624097,21.43977172,Oahu,-158.15622657933332,21.439768302269954
27,-158.15610_21.43965,-158.15610108,21.439651129999998,Oahu,-158.1560866904879,21.439647708135094
28,-158.15678_21.43956,-158.15678606,21.439564299999997,Oahu,-158.15677166778127,21.439560880099602
29,-158.15670_21.43985,-158.15670888,21.43985855,Oahu,-158.15669448691622,21.43985513025671
30,-158.15694_21.44012,-158.15694524,21.44012868,Oahu,-158.15693085257516,21.440125262945813
31,-158.15670_21.44009,-158.15670405,21.44009492,Oahu,-158.15668966333087,21.44009149611445
32,-158.15665_21.44032,-158.15665099,21.44032163,Oahu,-158.1566366018372,21.440318214998367
33,-159.72365_21.97341,-159.72365782,21.97341382,Kauai,-159.72364350185632,21.973410421840708
34,-159.72405_21.97366,-159.72405664,21.973667640000002,Kauai,-159.7240423224889,21.973664236334407
35,-159.72424_21.97398,-159.72424752,21.97398769,Kauai,-159.7242332073204,21.973984286391655
36,-159.72294_21.97592,-159.72294101,21.97592872,Kauai,-159.72292669674377,21.975925317447473
37,-159.72179_21.97352,-159.72179905,21.973524920000003,Kauai,-159.72178473081033,21.973521515893413
38,-159.72223_21.97407,-159.72223388999998,21.974075850000002,Kauai,-159.72221957846256,21.974072450877305
